,Station name,Station name in Chinese,Location,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Jurong East,裕廊东,Jurong East,1.333115,103.7422968,0,Chinese Restaurant,Coffee Shop,Food Court,Café,Japanese Restaurant,Shopping Mall,Steakhouse,Korean Restaurant,Bubble Tea Shop,Clothing Store
1,Newton,纽顿,Newton,1.31318325,103.83804024301281,3,Chinese Restaurant,Seafood Restaurant,Italian Restaurant,Hotel Bar,Thai Restaurant,Pool,Convenience Store,Food Court,Café,Noodle House
2,HarbourFront,港湾,Bukit Merah,1.2653951,103.8224032,0,Chinese Restaurant,Japanese Restaurant,Toy / Game Store,Fast Food Restaurant,Clothing Store,Bakery,Multiplex,Coffee Shop,Shopping Mall,Frozen Yogurt Shop
3,Chinatown,牛车水,Outram,1.2837372,103.8437976,0,Chinese Restaurant,Food Court,Hostel,Vegetarian / Vegan Restaurant,French Restaurant,Spa,Italian Restaurant,Japanese Restaurant,Café,Restaurant
